Parameter	Lower_CI	Upper_CI	Median_CI
17.4444	0.000317606	0.000429122	0.000371508
17.5	0.000312825	0.000421844	0.000365151
17.5556	0.000314914	0.000426341	0.000368418
17.6111	0.000313636	0.000423168	0.000366739
17.6667	0.000313205	0.000425153	0.000365736
17.7222	0.000313832	0.000423495	0.00036667
17.7778	0.000307138	0.000419041	0.000359458
17.8333	0.000310123	0.000421378	0.000364324
17.8889	0.000315313	0.000426173	0.000368654
17.9444	0.000305177	0.000415633	0.000357671
18	0.000310634	0.000420217	0.00036241
18.0556	0.000310236	0.000420671	0.000364362
18.1111	0.000311234	0.000421031	0.000364287
18.1667	0.0003089	0.000421162	0.000363331
18.2222	0.000311511	0.000422261	0.000364313
18.2778	0.00031139	0.000423038	0.000364704
18.3333	0.000308647	0.000417228	0.000360547
18.3889	0.000309623	0.000418132	0.000362964
18.4444	0.000311893	0.000419027	0.000363142
18.5	0.000313071	0.000422845	0.000366134
18.5556	0.000311223	0.000422558	0.000364684
18.6111	0.000302723	0.000412141	0.000355881
18.6667	0.000307976	0.000417832	0.000361848
18.7222	0.000304116	0.000414416	0.000357506
18.7778	0.000306709	0.000415939	0.000360604
18.8333	0.00030731	0.00041874	0.000361421
18.8889	0.00030465	0.000413738	0.000356957
18.9444	0.000310042	0.000417386	0.000361274
19	0.000309805	0.000420143	0.000363515
19.0556	0.000306549	0.000414447	0.000359067
19.1111	0.00030668	0.000413173	0.000357632
19.1667	0.000306127	0.000414415	0.000357921
19.2222	0.00030735	0.000413426	0.000359025
19.2778	0.000311767	0.000422451	0.000365249
19.3333	0.000306678	0.000415883	0.00035951
19.3889	0.000307866	0.000415756	0.000360863
19.4444	0.00030812	0.000419254	0.000361381
19.5	0.000303047	0.000410632	0.000353986
19.5556	0.000306663	0.000414357	0.000358762
19.6111	0.000307089	0.000415074	0.000358385
19.6667	0.000304948	0.000415027	0.000358601
19.7222	0.000303888	0.000413234	0.000355571
19.7778	0.000302743	0.000411592	0.000355784
19.8333	0.000305984	0.000413838	0.000357707
19.8889	0.000304419	0.000410898	0.000355253
19.9444	0.000304356	0.000412163	0.000356524
20	0.000306232	0.000412578	0.000358061
