Parameter	Lower_CI	Upper_CI	Median_CI
0.841806	0.000518139	0.000740617	0.000624624
0.844444	0.000489475	0.000699821	0.000591377
0.847083	0.000472127	0.000682102	0.000573447
0.849722	0.000448683	0.000654218	0.000548674
0.852361	0.000431213	0.000632349	0.000528004
0.855	0.00040503	0.000601314	0.000498722
0.857639	0.000394232	0.000579453	0.000483644
0.860278	0.000372745	0.000559425	0.000462976
0.862917	0.000349909	0.000525387	0.000433425
0.865556	0.000335532	0.000509386	0.000419314
0.868194	0.000310926	0.0004736	0.000388428
0.870833	0.000296442	0.000459601	0.00037579
0.873472	0.000280653	0.000441345	0.000357376
0.876111	0.000260728	0.000413052	0.000331741
0.87875	0.00024697	0.00039763	0.000318948
0.881389	0.000235452	0.000378282	0.000302242
0.884028	0.000217508	0.000356617	0.000283156
0.886667	0.000200835	0.000335193	0.000264462
0.889306	0.000193407	0.000325286	0.000256116
0.891944	0.000179392	0.000302899	0.000236683
0.894583	0.000167821	0.000293105	0.000226827
0.897222	0.000153744	0.000268474	0.00020864
0.899861	0.000143577	0.000257489	0.000196968
0.9025	0.000134421	0.000240726	0.000184831
0.905139	0.000127632	0.000232821	0.000175981
0.907778	0.000115197	0.000214689	0.000161258
0.910417	0.000106971	0.000205452	0.000152536
0.913056	9.78652e-05	0.000190112	0.000141146
0.915694	9.10979e-05	0.000177834	0.00013038
0.918333	8.21655e-05	0.000164616	0.000120174
0.920972	7.56048e-05	0.000153614	0.000110981
0.923611	6.77247e-05	0.00014021	0.000100125
0.92625	6.68651e-05	0.00013827	9.88549e-05
0.928889	5.94976e-05	0.000127225	8.99745e-05
0.931528	5.42045e-05	0.000118264	8.29828e-05
0.934167	5.06974e-05	0.000110934	7.71419e-05
0.936806	4.3036e-05	9.68357e-05	6.61911e-05
0.939444	4.1532e-05	9.29163e-05	6.33747e-05
0.942083	3.82344e-05	8.62643e-05	5.87232e-05
0.944722	3.47612e-05	7.87461e-05	5.34145e-05
0.947361	3.27501e-05	7.38997e-05	5.0117e-05
0.95	2.89623e-05	6.57784e-05	4.43126e-05
